NID,Title,URL,"Start Date","End Date","Time Range",Recurring
224,"Class of 2028 Run with Jim + a CSC Cool Down!",https://cscddev.ddev.site/events/class-2028-run-jim-csc-cool-down,8/24/2024,,"3:30 AM - 4:30 AM",No
248,"Coastal Futures Festival 2024",https://cscddev.ddev.site/events/coastal-futures-festival-2024,12/6/2024,,"9:00 AM - 12:00 PM",No
256,"TALK - From Fear to Action: Thriving in a Changing Climate featuring Britt Wray",https://cscddev.ddev.site/events/talk-fear-action-thriving-changing-climate-featuring-britt-wray,2/22/2024,,"7:30 AM - 8:30 AM",No
257,"Nature Experience: Embodied Practice for Eco-Anxiety",https://cscddev.ddev.site/events/nature-experience-embodied-practice-eco-anxiety,2/22/2024,,"10:00 AM - 10:45 AM",No
275,"Salon: FREQUENCY, February 13 2025",https://cscddev.ddev.site/events/salon-frequency-february-13-2025,2/13/2025,,"12:00 PM - 1:30 PM",No
276,"Salon: STORIES, March 20 2025",https://cscddev.ddev.site/events/salon-stories-march-20-2025,3/20/2025,,"11:30 AM - 1:00 PM",No
277,"Salon: SENSORY OVERLOAD, April 10 2025",https://cscddev.ddev.site/events/salon-sensory-overload-april-10-2025,4/10/2025,,"11:30 AM - 1:00 PM",No
313,"Salon: TIME, May 8 2025",https://cscddev.ddev.site/events/salon-time-may-8-2025,5/8/2025,,"11:30 AM - 1:00 PM",No
314,"Andalusi Sufi Music: A Daytime Workshop and Evening Concert",https://cscddev.ddev.site/events/andalusi-sufi-music-daytime-workshop-and-evening-concert,2/5/2025,,"7:00 PM - 6:59 PM",No
315,"Workshop: An Introduction to Andalusi Sufi Music",https://cscddev.ddev.site/events/workshop-introduction-andalusi-sufi-music,2/6/2025,,"9:00 AM - 10:15 AM",No
316,"Concert: الشفاء في الشتاء (Al-Shifā' fī'l-Shitā') / Healing in the Winter: An Evening of Sufi Music with the Al Firdaus Ensemble",https://cscddev.ddev.site/events/concert-alshfa-fy-alshta-al-shifa-fil-shita-healing-winter-evening-sufi-music-al-firdaus,2/6/2025,,"2:00 PM - 3:30 PM",No
317,"CSC Benefit Concert: Zac Brown Band with Special Guest Maggie Rogers",https://cscddev.ddev.site/events/csc-benefit-concert-zac-brown-band-special-guest-maggie-rogers,4/5/2025,,"4:00 PM - 7:00 PM",No
319,"Big Meadows Camping-Stargazing and Yoga (Students Only)",https://cscddev.ddev.site/events/big-meadows-camping-stargazing-and-yoga-students-only,4/10/2025,,"8:00 PM - 7:59 PM",No
332,"Talk: Engaging with Eco-anxiety between Academia and Society - European and Interdisciplinary Perspectives, by Panu Pihkala",https://cscddev.ddev.site/events/talk-engaging-eco-anxiety-between-academia-and-society-european-and-interdisciplinary,2/28/2025,,"5:00 AM - 6:30 AM",No
360,"A Scrappy Elephant Watercolor Workshop",https://cscddev.ddev.site/events/scrappy-elephant-watercolor-workshop,3/27/2025,,"1:00 PM - 3:00 PM",No
366,"Sama Sama: Bracelets & Bonding",https://cscddev.ddev.site/events/sama-sama-bracelets-bonding,3/28/2025,,"11:00 AM - 1:00 PM",No
369,"Mindful Pomodoro Study Café",https://cscddev.ddev.site/events/mindful-pomodoro-study-cafe,3/31/2025,,"9:00 AM - 12:00 PM",No
375,"Tom Tom Festival: Wellness Track",https://cscddev.ddev.site/events/tom-tom-festival-wellness-track,4/19/2025,,"6:00 AM - 1:00 PM",No
380,"Mental Health Awareness Discussion",https://cscddev.ddev.site/events/mental-health-awareness-discussion,4/14/2025,,"1:00 PM - 3:00 PM",No
385,"2025 Citizen Leader Fellows Final Presentation",https://cscddev.ddev.site/events/2025-citizen-leader-fellows-final-presentation,4/25/2025,,"10:00 AM - 12:00 PM",No
389,"Second Annual Well-Being Walk: Overcoming Stigma & Building Hope",https://cscddev.ddev.site/events/second-annual-well-being-walk-overcoming-stigma-building-hope,5/2/2025,,"9:30 AM - 10:30 AM",No
390,"Acoustic Jam with University Records",https://cscddev.ddev.site/events/acoustic-jam-university-records,4/21/2025,,"1:00 PM - 3:00 PM",No
393,"Warbler Walk",https://cscddev.ddev.site/events/warbler-walk,4/25/2025,,"4:00 AM - 5:30 AM",No
394,"Study Break",https://cscddev.ddev.site/events/study-break,4/30/2025,,"8:00 AM - 12:00 PM",No
399,"Reunions 2025",https://cscddev.ddev.site/events/reunions-2025,5/30/2025,,"9:00 AM - 11:00 AM",No
530,"Beyond the Noise: Flourishing Through Life’s Uncertainties",https://cscddev.ddev.site/events/beyond-noise-flourishing-through-lifes-uncertainties,8/30/2025,,"6:00 AM - 7:00 AM",No
538,"Exploring Contemplation & Art with Meg Hitchcock",https://cscddev.ddev.site/events/exploring-contemplation-art-meg-hitchcock,9/5/2025,,"11:30 AM - 1:00 PM",No
555,"stART: BRAIN FITNESS - Synaptic Transformations Through Art",https://cscddev.ddev.site/events/start-brain-fitness-synaptic-transformations-through-art,9/26/2025,,"11:00 AM - 1:00 PM",No
556,"Salsa Night",https://cscddev.ddev.site/events/salsa-night,9/30/2025,,"1:00 PM - 3:00 PM",No
562,"Circling (Social Meditation)",https://cscddev.ddev.site/events/circling-social-meditation,10/20/2025,,"1:00 PM - 3:00 PM",No
563,"Cookies & Contemplation",https://cscddev.ddev.site/events/cookies-contemplation,10/20/2025,,"2:00 PM - 4:00 PM",No
596,"Synaptic Transformations through ART: Mandalas",https://cscddev.ddev.site/events/synaptic-transformations-through-art-mandalas,10/24/2025,,"11:00 AM - 1:00 PM",No
621,"Synaptic Transformations through ART: Watercolor + Repetition",https://cscddev.ddev.site/events/synaptic-transformations-through-art-watercolor-repetition,11/7/2025,,"10:00 AM - 12:00 PM",No
624,"Draw in the Dark",https://cscddev.ddev.site/events/draw-dark,11/14/2025,,"10:00 AM - 12:00 PM",No
